Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
___________________________________________________________________________________________________
Pavarde1       Vardas1        10   6    4    10   5    8      7.60                7.20                
Pavarde2       Vardas2        1    3    5    3    5    10     7.36                7.20                
Pavarde3       Vardas3        5    4    2    10   1    3      3.56                3.40                
Pavarde4       Vardas4        3    1    4    7    10   4      4.40                4.00                
Pavarde5       Vardas5        7    10   7    1    3    2      3.44                4.00                
Pavarde6       Vardas6        4    8    1    3    6    10     7.76                7.60                
Pavarde7       Vardas7        1    5    1    6    1    4      3.52                2.80                
Pavarde8       Vardas8        5    5    3    10   7    6      6.00                5.60                
Pavarde9       Vardas9        5    9    5    1    6    1      2.68                2.60                
Pavarde10      Vardas10       1    2    1    7    4    3      3.00                2.60                
Pavarde11      Vardas11       2    8    9    2    2    10     7.84                6.80                
Pavarde12      Vardas12       7    3    1    3    2    3      3.08                3.00                
Pavarde13      Vardas13       8    3    8    8    2    8      7.12                8.00                
Pavarde14      Vardas14       3    1    2    8    7    8      6.48                6.00                
Pavarde15      Vardas15       6    1    1    2    4    7      5.32                5.00                
Pavarde16      Vardas16       3    8    6    2    9    7      6.44                6.60                
Pavarde17      Vardas17       6    5    5    3    10   6      5.92                5.60                
Pavarde18      Vardas18       4    9    7    4    8    7      6.76                7.00                
Pavarde19      Vardas19       3    8    8    6    10   4      5.20                5.60                
Pavarde20      Vardas20       7    1    3    10   6    1      2.76                3.00                
Pavarde21      Vardas21       5    6    2    9    7    2      3.52                3.60                
Pavarde22      Vardas22       8    6    4    2    9    5      5.32                5.40                
Pavarde23      Vardas23       1    9    10   10   2    3      4.36                5.40                
Pavarde24      Vardas24       2    2    5    2    10   2      2.88                2.00                
Pavarde25      Vardas25       5    7    10   7    9    4      5.44                5.20                
Pavarde26      Vardas26       1    9    1    6    2    4      3.92                3.20                
Pavarde27      Vardas27       4    8    10   9    8    2      4.32                4.40                
Pavarde28      Vardas28       9    3    7    2    4    3      3.80                3.40                
Pavarde29      Vardas29       7    1    8    7    5    3      4.04                4.60                
Pavarde30      Vardas30       2    10   9    6    8    10     8.80                9.20                
Pavarde31      Vardas31       1    8    4    9    9    2      3.68                4.40                
Pavarde32      Vardas32       9    2    2    10   2    9      7.40                6.20                
Pavarde33      Vardas33       1    4    7    1    10   3      3.64                3.40                
Pavarde34      Vardas34       1    2    5    10   2    7      5.80                5.00                
Pavarde35      Vardas35       10   5    6    1    7    1      2.92                3.00                
Pavarde36      Vardas36       1    4    4    10   10   10     8.32                7.60                
Pavarde37      Vardas37       1    10   8    10   4    3      4.44                5.00                
Pavarde38      Vardas38       1    8    8    8    10   7      7.00                7.40                
Pavarde39      Vardas39       4    10   3    8    6    7      6.68                6.60                
Pavarde40      Vardas40       5    6    2    3    2    2      2.64                2.40                
Pavarde41      Vardas41       5    3    6    9    2    10     8.00                8.00                
Pavarde42      Vardas42       1    2    1    3    7    1      1.72                1.40                
Pavarde43      Vardas43       6    9    3    4    5    1      2.76                2.60                
Pavarde44      Vardas44       10   5    10   3    4    7      6.76                6.20                
Pavarde45      Vardas45       6    2    1    7    9    9      7.40                7.80                
Pavarde46      Vardas46       1    10   1    9    2    10     7.84                6.80                
Pavarde47      Vardas47       7    4    3    3    4    2      2.88                2.80                
Pavarde48      Vardas48       6    4    3    7    4    4      4.32                4.00                
Pavarde49      Vardas49       6    3    7    6    7    8      7.12                7.20                
Pavarde50      Vardas50       3    8    3    10   1    4      4.40                3.60                
Pavarde51      Vardas51       4    8    6    5    10   3      4.44                4.20                
Pavarde52      Vardas52       5    3    8    1    3    4      4.00                3.60                
Pavarde53      Vardas53       9    3    8    10   6    2      4.08                4.40                
Pavarde54      Vardas54       4    3    2    4    4    6      4.96                5.20                
Pavarde55      Vardas55       8    5    10   10   8    3      5.08                5.00                
Pavarde56      Vardas56       5    4    10   4    7    8      7.20                6.80                
Pavarde57      Vardas57       5    1    7    8    2    1      2.44                2.60                
Pavarde58      Vardas58       9    9    10   4    3    4      5.20                6.00                
Pavarde59      Vardas59       7    6    5    1    2    8      6.48                6.80                
Pavarde60      Vardas60       10   2    6    8    3    10     8.32                8.40                
Pavarde61      Vardas61       4    3    7    2    3    7      5.72                5.40                
Pavarde62      Vardas62       2    8    4    3    6    5      4.84                4.60                
Pavarde63      Vardas63       5    9    2    5    10   9      7.88                7.40                
Pavarde64      Vardas64       4    9    1    7    10   5      5.48                5.80                
Pavarde65      Vardas65       3    9    9    5    5    10     8.48                8.00                
Pavarde66      Vardas66       9    9    5    4    2    5      5.32                5.00                
Pavarde67      Vardas67       4    3    7    6    10   9      7.80                7.80                
Pavarde68      Vardas68       2    3    8    1    2    5      4.28                3.80                
Pavarde69      Vardas69       10   10   3    7    8    9      8.44                8.60                
Pavarde70      Vardas70       2    5    2    5    3    7      5.56                5.40                
Pavarde71      Vardas71       5    7    10   7    5    1      3.32                3.40                
Pavarde72      Vardas72       6    2    4    6    10   7      6.44                6.60                
