Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
___________________________________________________________________________________________________
Pavarde187     Vardas187      3    9    10   10   10   10     9.36                10.00               
Pavarde470     Vardas470      2    10   10   10   10   10     9.36                10.00               
Pavarde485     Vardas485      5    7    8    10   10   10     9.20                9.20                
Pavarde306     Vardas306      6    7    7    9    10   10     9.12                8.80                
Pavarde689     Vardas689      3    8    9    9    9    10     9.04                9.60                
Pavarde484     Vardas484      3    8    8    8    10   10     8.96                9.20                
Pavarde577     Vardas577      2    8    8    9    10   10     8.96                9.20                
Pavarde705     Vardas705      6    6    8    8    8    10     8.88                9.20                
Pavarde555     Vardas555      5    6    7    8    10   10     8.88                8.80                
Pavarde567     Vardas567      4    5    8    9    10   10     8.88                9.20                
Pavarde100     Vardas100      5    5    6    10   10   10     8.88                8.40                
Pavarde908     Vardas908      2    6    8    10   10   10     8.88                9.20                
Pavarde30      Vardas30       2    6    8    9    10   10     8.80                9.20                
Pavarde980     Vardas980      3    9    10   10   10   9      8.76                9.40                
Pavarde393     Vardas393      5    9    9    9    10   9      8.76                9.00                
Pavarde331     Vardas331      5    5    6    8    10   10     8.72                8.40                
Pavarde94      Vardas94       2    5    8    9    10   10     8.72                9.20                
Pavarde869     Vardas869      4    4    6    10   10   10     8.72                8.40                
Pavarde447     Vardas447      4    6    6    8    10   10     8.72                8.40                
Pavarde525     Vardas525      2    5    7    10   10   10     8.72                8.80                
Pavarde782     Vardas782      4    5    6    9    10   10     8.72                8.40                
Pavarde228     Vardas228      3    6    7    8    9    10     8.64                8.80                
Pavarde273     Vardas273      4    4    8    8    9    10     8.64                9.20                
Pavarde257     Vardas257      5    7    9    9    9    9      8.52                9.00                
Pavarde89      Vardas89       6    6    8    9    10   9      8.52                8.60                
Pavarde282     Vardas282      1    8    10   10   10   9      8.52                9.40                
Pavarde65      Vardas65       3    5    5    9    9    10     8.48                8.00                
Pavarde69      Vardas69       3    7    8    10   10   9      8.44                8.60                
Pavarde411     Vardas411      3    7    9    9    10   9      8.44                9.00                
Pavarde275     Vardas275      3    3    6    8    10   10     8.40                8.40                
Pavarde212     Vardas212      3    6    6    7    8    10     8.40                8.40                
Pavarde903     Vardas903      1    4    7    8    10   10     8.40                8.80                
Pavarde905     Vardas905      3    4    7    7    9    10     8.40                8.80                
Pavarde90      Vardas90       1    3    7    9    10   10     8.40                8.80                
Pavarde911     Vardas911      6    6    8    8    9    9      8.36                8.60                
Pavarde60      Vardas60       2    3    6    8    10   10     8.32                8.40                
Pavarde36      Vardas36       1    4    4    10   10   10     8.32                7.60                
Pavarde398     Vardas398      2    3    7    8    9    10     8.32                8.80                
Pavarde313     Vardas313      2    6    8    10   10   9      8.28                8.60                
Pavarde230     Vardas230      6    6    6    9    9    9      8.28                7.80                
Pavarde760     Vardas760      3    4    4    8    9    10     8.24                7.60                
Pavarde759     Vardas759      2    4    4    8    10   10     8.24                7.60                
Pavarde164     Vardas164      2    3    6    8    9    10     8.24                8.40                
Pavarde491     Vardas491      2    4    4    8    10   10     8.24                7.60                
Pavarde828     Vardas828      3    4    5    6    10   10     8.24                8.00                
Pavarde694     Vardas694      1    4    5    8    10   10     8.24                8.00                
Pavarde794     Vardas794      3    6    6    6    7    10     8.24                8.40                
Pavarde265     Vardas265      1    5    5    8    9    10     8.24                8.00                
Pavarde598     Vardas598      1    2    7    9    9    10     8.24                8.80                
Pavarde601     Vardas601      2    5    6    7    8    10     8.24                8.40                
Pavarde919     Vardas919      4    4    6    7    7    10     8.24                8.40                
Pavarde969     Vardas969      3    6    7    9    10   9      8.20                8.20                
Pavarde155     Vardas155      4    5    7    9    10   9      8.20                8.20                
Pavarde540     Vardas540      3    6    7    9    10   9      8.20                8.20                
Pavarde557     Vardas557      3    4    9    9    10   9      8.20                9.00                
Pavarde558     Vardas558      2    3    5    7    10   10     8.16                8.00                
Pavarde966     Vardas966      2    3    4    8    10   10     8.16                7.60                
Pavarde631     Vardas631      2    6    7    9    10   9      8.12                8.20                
Pavarde511     Vardas511      1    1    5    9    10   10     8.08                8.00                
Pavarde814     Vardas814      7    8    8    8    10   8      8.08                8.00                
Pavarde881     Vardas881      2    3    4    8    9    10     8.08                7.60                
Pavarde703     Vardas703      1    4    4    7    10   10     8.08                7.60                
Pavarde109     Vardas109      4    4    5    5    8    10     8.08                8.00                
Pavarde827     Vardas827      2    3    4    7    10   10     8.08                7.60                
Pavarde418     Vardas418      1    3    6    6    9    10     8.00                8.40                
Pavarde41      Vardas41       2    3    5    6    9    10     8.00                8.00                
Pavarde723     Vardas723      1    6    6    9    10   9      7.96                7.80                
Pavarde136     Vardas136      4    5    6    8    9    9      7.96                7.80                
Pavarde941     Vardas941      2    6    7    8    9    9      7.96                8.20                
Pavarde326     Vardas326      3    4    6    9    10   9      7.96                7.80                
Pavarde202     Vardas202      4    5    6    7    10   9      7.96                7.80                
Pavarde615     Vardas615      1    6    7    9    9    9      7.96                8.20                
Pavarde292     Vardas292      3    5    6    9    9    9      7.96                7.80                
Pavarde786     Vardas786      3    3    5    5    8    10     7.92                8.00                
Pavarde317     Vardas317      1    4    4    7    8    10     7.92                7.60                
Pavarde526     Vardas526      1    2    5    8    8    10     7.92                8.00                
Pavarde498     Vardas498      2    3    3    8    8    10     7.92                7.20                
Pavarde773     Vardas773      3    4    4    4    9    10     7.92                7.60                
Pavarde559     Vardas559      2    5    6    9    9    9      7.88                7.80                
Pavarde195     Vardas195      2    3    6    10   10   9      7.88                7.80                
Pavarde942     Vardas942      2    3    7    9    10   9      7.88                8.20                
Pavarde374     Vardas374      2    6    6    7    10   9      7.88                7.80                
Pavarde63      Vardas63       2    5    5    9    10   9      7.88                7.40                
Pavarde352     Vardas352      3    4    5    9    10   9      7.88                7.40                
Pavarde75      Vardas75       4    5    5    8    9    9      7.88                7.40                
Pavarde510     Vardas510      1    6    6    8    10   9      7.88                7.80                
Pavarde614     Vardas614      6    7    8    8    9    8      7.84                8.00                
Pavarde487     Vardas487      2    4    5    6    6    10     7.84                8.00                
Pavarde570     Vardas570      2    3    4    6    8    10     7.84                7.60                
Pavarde46      Vardas46       1    1    2    9    10   10     7.84                6.80                
Pavarde199     Vardas199      3    7    8    10   10   8      7.84                8.00                
Pavarde11      Vardas11       2    2    2    8    9    10     7.84                6.80                
Pavarde554     Vardas554      3    6    9    10   10   8      7.84                8.40                
Pavarde741     Vardas741      1    7    10   10   10   8      7.84                8.80                
Pavarde472     Vardas472      1    5    6    9    9    9      7.80                7.80                
Pavarde67      Vardas67       3    4    6    7    10   9      7.80                7.80                
Pavarde879     Vardas879      2    6    7    7    8    9      7.80                8.20                
Pavarde630     Vardas630      5    10   10   10   10   7      7.80                8.20                
Pavarde160     Vardas160      4    6    6    7    7    9      7.80                7.80                
Pavarde6       Vardas6        1    3    4    6    8    10     7.76                7.60                
Pavarde310     Vardas310      1    2    4    7    8    10     7.76                7.60                
Pavarde788     Vardas788      1    1    3    7    10   10     7.76                7.20                
Pavarde128     Vardas128      3    5    6    7    8    9      7.72                7.80                
Pavarde414     Vardas414      3    5    5    8    8    9      7.72                7.40                
Pavarde385     Vardas385      1    5    7    8    8    9      7.72                8.20                
Pavarde612     Vardas612      1    4    5    9    10   9      7.72                7.40                
Pavarde840     Vardas840      2    3    7    7    10   9      7.72                8.20                
Pavarde328     Vardas328      2    2    5    5    7    10     7.68                8.00                
Pavarde873     Vardas873      5    5    8    8    10   8      7.68                8.00                
Pavarde153     Vardas153      2    8    8    8    10   8      7.68                8.00                
Pavarde781     Vardas781      1    3    3    4    10   10     7.68                7.20                
Pavarde497     Vardas497      1    1    4    7    8    10     7.68                7.60                
Pavarde755     Vardas755      1    2    3    6    9    10     7.68                7.20                
Pavarde701     Vardas701      5    5    7    9    10   8      7.68                7.60                
Pavarde985     Vardas985      1    1    4    7    8    10     7.68                7.60                
Pavarde92      Vardas92       1    2    5    5    8    10     7.68                8.00                
Pavarde562     Vardas562      1    7    9    9    10   8      7.68                8.40                
Pavarde669     Vardas669      1    2    4    6    8    10     7.68                7.60                
Pavarde783     Vardas783      4    4    4    8    8    9      7.64                7.00                
Pavarde336     Vardas336      2    4    5    7    10   9      7.64                7.40                
Pavarde797     Vardas797      1    2    6    9    10   9      7.64                7.80                
Pavarde983     Vardas983      2    3    6    8    9    9      7.64                7.80                
Pavarde459     Vardas459      1    5    6    7    9    9      7.64                7.80                
Pavarde960     Vardas960      4    6    7    8    10   8      7.60                7.60                
Pavarde770     Vardas770      2    2    2    4    10   10     7.60                6.80                
Pavarde1       Vardas1        4    5    6    10   10   8      7.60                7.20                
Pavarde337     Vardas337      4    7    7    8    9    8      7.60                7.60                
Pavarde910     Vardas910      1    2    2    6    9    10     7.60                6.80                
Pavarde751     Vardas751      2    3    3    4    8    10     7.60                7.20                
Pavarde291     Vardas291      3    5    7    10   10   8      7.60                7.60                
Pavarde269     Vardas269      1    1    3    5    10   10     7.60                7.20                
Pavarde106     Vardas106      3    4    8    10   10   8      7.60                8.00                
Pavarde455     Vardas455      2    7    8    9    9    8      7.60                8.00                
Pavarde259     Vardas259      2    3    4    5    6    10     7.60                7.60                
Pavarde653     Vardas653      1    2    4    6    7    10     7.60                7.60                
Pavarde628     Vardas628      1    2    5    9    10   9      7.56                7.40                
Pavarde231     Vardas231      2    3    4    8    10   9      7.56                7.00                
Pavarde553     Vardas553      1    5    5    7    9    9      7.56                7.40                
Pavarde792     Vardas792      2    3    4    8    10   9      7.56                7.00                
Pavarde350     Vardas350      3    3    5    8    8    9      7.56                7.40                
Pavarde651     Vardas651      4    4    7    9    10   8      7.52                7.60                
Pavarde989     Vardas989      1    2    2    4    10   10     7.52                6.80                
Pavarde348     Vardas348      1    1    3    7    7    10     7.52                7.20                
Pavarde597     Vardas597      2    2    3    5    7    10     7.52                7.20                
Pavarde243     Vardas243      1    2    4    6    6    10     7.52                7.60                
Pavarde397     Vardas397      4    5    6    9    10   8      7.52                7.20                
Pavarde897     Vardas897      1    2    4    9    10   9      7.48                7.00                
Pavarde454     Vardas454      1    4    6    7    8    9      7.48                7.80                
