Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ    Galutinis (Vid.)    Galutinis (Med.)    
Pavarde4904    Vardas4904     1    6    6    9    10   4      4.96                4.80                
Pavarde3047    Vardas3047     1    5    8    8    10   4      4.96                5.60                
Pavarde5254    Vardas5254     2    5    7    8    10   4      4.96                5.20                
Pavarde5340    Vardas5340     4    5    6    8    9    4      4.96                4.80                
Pavarde428     Vardas428      1    6    7    8    10   4      4.96                5.20                
Pavarde7957    Vardas7957     4    5    5    9    9    4      4.96                4.40                
Pavarde3404    Vardas3404     3    3    8    8    10   4      4.96                5.60                
Pavarde8260    Vardas8260     1    4    8    9    10   4      4.96                5.60                
Pavarde3482    Vardas3482     3    5    6    8    10   4      4.96                4.80                
Pavarde9498    Vardas9498     4    5    6    7    10   4      4.96                4.80                
Pavarde2499    Vardas2499     4    5    6    8    9    4      4.96                4.80                
Pavarde4307    Vardas4307     3    4    6    9    10   4      4.96                4.80                
Pavarde3303    Vardas3303     1    7    7    8    9    4      4.96                5.20                
Pavarde2118    Vardas2118     1    6    8    8    9    4      4.96                5.60                
Pavarde1058    Vardas1058     1    4    8    9    10   4      4.96                5.60                
Pavarde6206    Vardas6206     1    6    7    9    9    4      4.96                5.20                
Pavarde3134    Vardas3134     3    4    8    8    9    4      4.96                5.60                
Pavarde8122    Vardas8122     2    6    7    7    10   4      4.96                5.20                
Pavarde7807    Vardas7807     1    5    7    9    10   4      4.96                5.20                
Pavarde9492    Vardas9492     2    5    7    8    10   4      4.96                5.20                
Pavarde618     Vardas618      4    4    7    8    9    4      4.96                5.20                
Pavarde8013    Vardas8013     3    5    6    8    10   4      4.96                4.80                
Pavarde5331    Vardas5331     3    4    5    10   10   4      4.96                4.40                
Pavarde9555    Vardas9555     4    4    6    8    10   4      4.96                4.80                
Pavarde389     Vardas389      2    5    7    8    10   4      4.96                5.20                
Pavarde521     Vardas521      1    2    9    10   10   4      4.96                6.00                
Pavarde2505    Vardas2505     3    4    8    8    9    4      4.96                5.60                
Pavarde9479    Vardas9479     4    5    6    7    10   4      4.96                4.80                
Pavarde1440    Vardas1440     3    5    6    9    9    4      4.96                4.80                
Pavarde2957    Vardas2957     1    6    8    8    9    4      4.96                5.60                
Pavarde559     Vardas559      2    5    6    9    10   4      4.96                4.80                
Pavarde5170    Vardas5170     2    3    8    9    10   4      4.96                5.60                
Pavarde3425    Vardas3425     3    3    6    10   10   4      4.96                4.80                
Pavarde677     Vardas677      3    5    7    8    9    4      4.96                5.20                
Pavarde7160    Vardas7160     1    4    7    10   10   4      4.96                5.20                
Pavarde7429    Vardas7429     2    2    9    9    10   4      4.96                6.00                
Pavarde1382    Vardas1382     2    5    7    9    9    4      4.96                5.20                
Pavarde2619    Vardas2619     3    5    7    8    9    4      4.96                5.20                
Pavarde5476    Vardas5476     4    6    6    7    9    4      4.96                4.80                
Pavarde322     Vardas322      2    3    7    10   10   4      4.96                5.20                
Pavarde1628    Vardas1628     5    5    5    8    9    4      4.96                4.40                
Pavarde9886    Vardas9886     2    5    8    8    9    4      4.96                5.60                
Pavarde5716    Vardas5716     3    3    7    9    10   4      4.96                5.20                
Pavarde2873    Vardas2873     3    6    6    7    10   4      4.96                4.80                
Pavarde1017    Vardas1017     5    6    6    6    9    4      4.96                4.80                
Pavarde9111    Vardas9111     3    4    6    9    10   4      4.96                4.80                
Pavarde5790    Vardas5790     3    6    7    7    9    4      4.96                5.20                
Pavarde3566    Vardas3566     4    6    6    8    8    4      4.96                4.80                
Pavarde9995    Vardas9995     5    5    7    7    8    4      4.96                5.20                
Pavarde3722    Vardas3722     3    6    7    8    8    4      4.96                5.20                
Pavarde5102    Vardas5102     1    6    7    8    10   4      4.96                5.20                
Pavarde5485    Vardas5485     4    4    7    7    10   4      4.96                5.20                
Pavarde733     Vardas733      3    4    7    9    9    4      4.96                5.20                
Pavarde8772    Vardas8772     3    5    8    8    8    4      4.96                5.60                
Pavarde1372    Vardas1372     2    4    8    8    10   4      4.96                5.60                
Pavarde9777    Vardas9777     2    5    6    9    10   4      4.96                4.80                
Pavarde3639    Vardas3639     1    5    8    8    10   4      4.96                5.60                
Pavarde7007    Vardas7007     2    5    6    9    10   4      4.96                4.80                
Pavarde8760    Vardas8760     2    3    7    10   10   4      4.96                5.20                
Pavarde1609    Vardas1609     4    5    6    7    10   4      4.96                4.80                
Pavarde6674    Vardas6674     1    6    8    8    9    4      4.96                5.60                
Pavarde173     Vardas173      1    4    8    9    10   4      4.96                5.60                
Pavarde4745    Vardas4745     2    4    7    9    10   4      4.96                5.20                
Pavarde4674    Vardas4674     1    1    2    5    8    6      4.96                4.40                
Pavarde7651    Vardas7651     1    2    2    5    7    6      4.96                4.40                
Pavarde1466    Vardas1466     1    1    2    5    8    6      4.96                4.40                
Pavarde8850    Vardas8850     1    3    3    3    7    6      4.96                4.80                
Pavarde1298    Vardas1298     1    2    2    3    9    6      4.96                4.40                
